File_name,Lips_distance,Euler_angles,Expression,Center,Bounding_box
extraction/masks/Laurine50.jpg,56.0,"[-21.74, -2.0, -178.47]","[0.07, 0.0, 0.23, 0.01, 0.03, 0.04, 0.62]","[0.51, 0.17]",0.4
extraction/masks/Laurine51.jpg,4.0,"[-27.22, -37.43, -178.57]","[0.0, 0.0, 0.01, 0.01, 0.13, 0.0, 0.85]","[0.51, 0.19]",0.4
extraction/masks/Laurine510.jpg,31.0,"[-17.57, 0.05, -178.94]","[0.13, 0.0, 0.26, 0.0, 0.0, 0.6, 0.0]","[0.51, 0.19]",0.4
extraction/masks/Laurine511.jpg,37.0,"[-20.13, -0.13, -179.88]","[0.02, 0.0, 0.03, 0.02, 0.29, 0.03, 0.61]","[0.53, 0.19]",0.4
extraction/masks/Laurine52.jpg,53.0,"[-11.68, -0.16, -178.82]","[0.0, 0.0, 0.99, 0.0, 0.0, 0.0, 0.0]","[0.52, 0.19]",0.4
extraction/masks/Laurine53.jpg,38.0,"[-10.46, 0.22, 179.45]","[0.0, 0.0, 0.96, 0.0, 0.0, 0.03, 0.0]","[0.53, 0.18]",0.4
extraction/masks/Laurine54.jpg,47.095647357266465,"[-20.56, 0.03, -179.65]","[0.0, 0.0, 0.96, 0.0, 0.0, 0.04, 0.0]","[0.52, 0.17]",0.4
extraction/masks/Laurine55.jpg,3.0,"[-21.85, 31.77, -179.71]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.52, 0.18]",0.4
extraction/masks/Laurine56.jpg,22.360679774997898,"[-22.95, 35.69, -175.57]","[0.0, 0.0, 0.06, 0.0, 0.0, 0.81, 0.12]","[0.31, 0.18]",0.4
extraction/masks/Laurine57.jpg,51.0,"[-19.32, 0.46, -179.83]","[0.24, 0.0, 0.75, 0.0, 0.0, 0.01, 0.0]","[0.31, 0.19]",0.4
extraction/masks/Laurine58.jpg,16.0,"[-14.3, 2.11, -178.61]","[0.0, 0.0, 0.0, 0.99, 0.0, 0.0, 0.01]","[0.76, 0.21]",0.4
